"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-24",,"26.1","13.3","13.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-25",,"22.2","10.0","10.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-26",,"23.9","10.0","15.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-27",,"21.7","11.1","16.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-28",,"25.0","13.9","16.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-29",,"21.7","8.9","10.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-30",,"20.0","10.6","12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-01",,"18.9","7.8","9.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-02",,"19.4","7.8","8.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-03",,"22.8","8.9","11.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-04",,"25.0","11.1","18.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-05",,"20.0","14.4","14.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-06",,"17.8","14.4","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-07",,"18.9","14.4","14.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-08",,"23.9","12.2","12.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-09",,"23.9","12.2","13.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-10",,"18.9","13.9","14.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-11",,"16.1","14.4","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-12",,"22.2","12.2","14.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-13",,"20.0","13.9","15.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-14",,"20.0","15.0","16.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-15",,"25.0","13.9","13.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-16",,"26.1","13.9","16.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-17",,"25.6","10.6","10.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-18",,"16.1","5.0","5.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-19",,"15.0","4.4","4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-20",,"18.9","4.4","13.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-21",,"23.9","10.6","10.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-22",,"22.8","10.6","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-23",,"20.0","7.2","8.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-24",,"15.0","3.9","3.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-25",,"13.9","3.9","12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-26",,"22.2","12.8","12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-27",,"15.0","12.2","13.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-28",,"17.2","6.1","6.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-29",,"15.0","6.1","6.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-30",,"12.2","5.6","11.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-10-31",,"17.8","10.6","12.2"
